"b_pred","beta[1]"
-0.031339866478078,-0.0340102950851462
-0.0156571669137838,-0.0338770801679486
0.131018352356385,-0.0336894446886442
0.0804418599547048,-0.0339325555484035
0.134708646884516,-0.0337527043636343
0.0502411831616986,-0.0338429463473008
0.0591822617951069,-0.0326537972743883
-0.281577452932838,-0.0326537972743883
-0.347686386343394,-0.0328962308571395
-0.380812832943874,-0.0326410988096946
-0.303863214577139,-0.0329526424042148
-0.0990843761257938,-0.0332719986809469
-0.0577798218552561,-0.0335124331356225
-0.104164719606385,-0.0334580455145206
-0.202732234792477,-0.0349237267402239
-0.0848972118714912,-0.0329478262189517
-0.116930984561426,-0.0325647348400331
-0.0915041250201117,-0.0327438031312107
-0.15057421789922,-0.0325339406263427
-0.322749219138273,-0.0318833171422144
-0.21962454749109,-0.022836496895748
-0.15102415596992,-0.0235890676700142
-0.156323624867088,-0.0235950433935244
-0.232573692403744,-0.026148984788978
-0.248106296648824,-0.0259197096335099
-0.261824081414775,-0.0259006823900518
-0.338175626065025,-0.0231333642195859
-0.376601079955685,-0.0236415921632103
-0.408870727525393,-0.0257301058730005
-0.413231517422838,-0.0266656153558117
-0.378630351276979,-0.0245598907870414
-0.33982841597372,-0.0256553640345318
-0.48682705976535,-0.0246589127835847
-0.241101602039232,-0.0236282440139344
-0.281510051095239,-0.0236567226279688
-0.216923203538622,-0.0231855415114308
-0.272368929692122,-0.0169241850246508
-0.354471245114164,-0.0173492321200017
-0.371941919703481,-0.0164897823477754
-0.601415833970721,-0.0126834023815894
-0.486725621477572,-0.0121988283776084
-0.659006532491835,-0.0144546409476414
-0.661415989097136,-0.0163964612304445
-0.636812829438135,-0.0209507850132228
-0.52735166383576,-0.0198408308128824
-0.483401469069375,-0.0210169597901497
-0.625568169817095,-0.02129038616276
-0.620030117809485,-0.0238075803808049
-0.596917336767817,-0.0234286689297063
-0.570834855577899,-0.0216542383663283
-0.446747651526147,-0.0219788071588274
-0.363153902558361,-0.0213844605555309
-0.299476813995264,-0.0222939612753448
-0.212217677152106,-0.0235236987285732
-0.221758944016993,-0.0252122578102847
-0.0568849239345361,-0.0246047847955601
-0.130246287821684,-0.0231301884030415
-0.125072008604348,-0.0208739273983356
-0.0883324609768025,-0.02147973979342
-0.0826671265158706,-0.0215065289169401
-0.0828089116029358,-0.0220873445330572
-0.656112203687033,-0.0188810367550569
0.54582297497084,-0.022793761624992
-0.368783415240464,-0.0264034899706535
-0.301818485692923,-0.0260447493473206
-0.283463817602841,-0.0273468392540459
-0.188761702070682,-0.0331042930825956
-0.233084871949102,-0.0364267852979836
-0.146838895538233,-0.0371750874643104
-0.054144434943099,-0.0374988062928387
0.00881701189657489,-0.0355379701962769
0.00153149687877003,-0.0368901085848178
0.0458019717924436,-0.0347316557995703
0.0818350122430609,-0.0330462686972377
0.0534585276860141,-0.0330462686972377
0.18192627538601,-0.0329676520303532
0.173819240029375,-0.0331045607428196
0.22327568977222,-0.0331045607428196
0.0449845900282715,-0.0326482694932038
0.00219995244204648,-0.0312989843549172
0.0995438391582802,-0.0312657569025403
0.0835245297304582,-0.0294538177083828
0.0963759013093095,-0.0287891384114154
0.154168525136259,-0.0256595063655598
0.216687630582104,-0.0275595313854589
0.337713726574956,-0.0302923995980709
0.326361742990396,-0.0298342364969452
0.29519534075311,-0.0296292889773221
0.0510579506700612,-0.0271166594736536
0.161840609107488,-0.026703628340415
0.53742289076802,-0.0279283439594291
0.534522461433604,-0.0279283439594291
0.519455528778016,-0.0279491895484118
-0.615922696748601,-0.02858917368829
0.615114410452608,-0.0267403590849351
0.1526811202378,-0.0268429376847734
0.0948329548474966,-0.027920263919008
0.126318014258601,-0.0295404897239104
0.134232365347266,-0.0328355929390355
0.121949686212218,-0.0325276026509338
-0.0558464402386487,-0.0324906073115474
-0.267775178041702,-0.0326898731390892
-0.0862223834472183,-0.033065573280957
-0.117969450689823,-0.033065573280957
0.00533048617767782,-0.0329096072152203
-0.154507219625534,-0.0349792548879399
-0.15376249475378,-0.035723058990367
-0.126079118964112,-0.0370357720973451
-0.0614990701320879,-0.0387082449592704
-0.0275999836938437,-0.0353427881298548
0.0176870734546594,-0.0375761122920262
0.255883248951122,-0.0346390871578162
0.297873567085009,-0.0347978611892894
0.301410281508742,-0.0345316935541579
0.293909092416271,-0.0343007742998255
0.253585958088253,-0.034081915632332
0.297553766287845,-0.0347079781259259
0.152720008735247,-0.0348708118876444
0.108073665300053,-0.0298721918356164
-0.0366941181422452,-0.0302929427642039
