"b_Intercept","alpha"
146.553160625402,149.284036057232
146.532375363608,149.279927274275
147.040903123223,149.276562439057
146.188861595568,149.288078605184
145.504117603083,149.288694177197
146.084166717124,149.289023484766
145.478648637996,149.289023484766
145.406367143055,149.289518274559
145.443122148075,149.289349730176
146.00260036447,149.288808495668
145.67700257199,149.289432505225
145.733782226416,149.290136256755
145.030917044736,149.28978364413
144.794817932426,149.289203489473
144.99977946574,149.288750686922
144.657370936198,149.29007785924
145.587252210664,149.290572624923
144.822269221734,149.290572624923
144.468948085574,149.290395999819
144.225723741329,149.290395999819
144.410717290635,149.291275504259
143.394555712798,149.291275504259
143.566880061077,149.29072097205
143.670603575831,149.29089688222
143.868220747699,149.291987188699
143.738533218572,149.293719313397
144.277736856302,149.292772227949
143.639183487279,149.292176416791
143.59160272202,149.292598622215
143.982821326602,149.291517610793
142.830498338371,149.291517610793
142.768809928837,149.29198056657
142.431452655232,149.291161877295
142.374416066717,149.291086330411
142.392765402176,149.291683817789
140.473581558238,149.291771454446
140.231312866773,149.290704459291
140.913122929125,149.290930890139
140.401461464612,149.290930890139
139.669967132183,149.287099920205
139.185519976368,149.287168397401
139.030361809286,149.287386265927
138.299825279696,149.287386265927
138.713611429796,149.287386265927
138.43638004669,149.287386265927
140.059993785115,149.287667092243
139.92680858523,149.289677995182
141.481334655835,149.289472322154
141.237113478738,149.289415782695
141.080252034973,149.288797124846
140.764172644193,149.289121128984
140.603690457969,149.288015632961
141.453222739497,149.291761896937
141.544608072689,149.294792888779
141.260047507304,149.293536013787
142.389702586016,149.292064788732
141.398395238617,149.293188749569
141.952669612911,149.293048518082
142.086951330545,149.292052201907
142.919212795875,149.292106497135
147.779570079072,149.292362407252
146.379318612419,149.294667094551
149.341638458421,150.344313136106
149.472740169661,150.344514311736
149.705573735883,150.344288852413
150.854772227488,150.342403349866
148.317437259354,150.344072760404
147.720383644957,150.343837716274
146.635530066167,150.343241136937
146.334670697575,150.343326658381
147.025003390954,150.332628901312
146.696710738676,150.332862360074
147.561786089831,150.331999382274
147.590690158251,150.332141026067
147.52542605161,150.333428098077
148.497548964972,150.333755530718
147.597475916923,150.33381599388
147.908724837364,150.333905776355
148.168745590253,150.334354208994
147.629202958354,150.331784920412
147.504089010707,150.333002167857
147.221149801346,150.331033725049
146.879664701353,150.332758990165
149.488170174434,150.332006511467
152.406250797998,150.332523078547
151.646933978813,150.332479351085
151.923842562868,150.335046931409
151.713199452574,150.335061995332
151.651350855646,150.33571158723
150.359263862649,150.332403950561
150.188627014275,150.330789748334
149.814369673869,150.331659121253
151.47066576546,150.330857848466
151.40399718083,150.341001403861
151.212447272365,150.342466327156
150.88286359673,150.341633025628
153.212950905183,150.341639730945
153.953127387235,150.342079586215
152.899690768414,150.341830670228
153.223476061354,150.34242866884
153.615497895613,150.341772280421
153.741179366576,150.33928905631
148.461397127713,150.338453260385
148.993992236811,150.332192445372
149.079587638183,150.331012269151
147.123435807985,150.333566372079
146.867111010921,150.33281951622
146.401815543723,150.331917839866
146.361843646288,150.330657206172
145.667014818162,150.330403905733
144.860579099406,150.330086926255
145.499067988979,150.329940578399
146.935128847869,150.334457968236
146.932746368318,150.330202538676
146.752071371728,150.32925054597
147.501788457299,150.328159093079
147.735130604352,150.331070185608
149.018624175861,150.330280826849
148.207689661057,150.327666907197
148.634186477453,150.325927952939
